 ,Area,Mean,Min,Max
1,9.106,255,255,255
2,6.529,255,255,255
3,14.862,255,255,255
4,7.232,255,255,255
5,8.315,255,255,255
6,11.939,255,255,255
7,11.419,255,255,255
8,6.371,255,255,255
9,14.747,255,255,255
10,10.641,255,255,255
11,19.817,255,255,255
12,8.638,255,255,255
13,10.988,255,255,255
14,9.670,255,255,255
15,8.631,255,255,255
16,2.075,255,255,255
17,21.729,255,255,255
18,13.787,255,255,255
19,8.539,255,255,255
20,6.953,255,255,255
21,10.739,255,255,255
22,13.462,255,255,255
23,7.569,255,255,255
24,15.565,255,255,255
25,9.287,255,255,255
26,14.493,255,255,255
27,9.403,255,255,255
28,11.275,255,255,255
29,17.829,255,255,255
30,6.790,255,255,255
31,4.698,255,255,255
32,13.195,255,255,255
33,10.500,255,255,255
